Company Name,Raw Card Text,Company Rating,Reviews,Industry,Location
Bandhan Bank,"Bandhan Bank | Follow | 3.6 | (12.1k) | Banking | Kolkata +1063 other locations | Critically Rated For | Promotions, Work Satisfaction, Company Culture | To view salary insights | Select designation | 12.1k | Reviews | 27.9k | Salaries | 801 | Interviews | -- | Jobs | 597 | Benefits | 53 | Photos",3.6,27.9,Banking,Kolkata +1063 other locations
Yes Bank,"Yes Bank | Follow | 3.6 | (10.8k) | Banking | Mumbai +549 other locations | Critically Rated For | Job Security, Promotions, Company Culture | To view salary insights | Select designation | 10.8k | Reviews | 43.1k | Salaries | 588 | Interviews | 156 | Jobs | 649 | Benefits | 19 | Photos",3.6,43.1,Banking,Mumbai +549 other locations
Digitide Solutions,"Digitide Solutions | Follow | 3.4 | (10.9k) | IT Services & Consulting | Hyderabad +282 other locations | Critically Rated For | Promotions, Salary, Work Satisfaction | To view salary insights | Select designation | 10.9k | Reviews | 27.4k | Salaries | 604 | Interviews | 335 | Jobs | 797 | Benefits | 49 | Photos",3.4,27.4,IT Services & Consulting,Hyderabad +282 other locations
Mphasis,"Mphasis | Follow | 3.3 | (10.7k) | IT Services & Consulting | Bengaluru +69 other locations | Critically Rated For | Promotions, Salary, Work Satisfaction | To view salary insights | Select designation | 10.7k | Reviews | 75.4k | Salaries | 963 | Interviews | 57 | Jobs | 883 | Benefits | 148 | Photos",3.3,75.4,IT Services & Consulting,Bengaluru +69 other locations
Tata Steel,"Tata Steel | Follow | 4.0 | (10.5k) | Iron & Steel | Jamshedpur +236 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Work Life Balance, Job Security, Company Culture | Critically Rated For | Promotions | To view salary insights | Select designation | 10.5k | Reviews | 34.9k | Salaries | 1.1k | Interviews | -- | Jobs | 701 | Benefits | 53 | Photos",4.0,34.9,Iron & Steel,Jamshedpur +236 other locations
Quess,"Quess | Follow | 3.8 | (10.3k) | Recruitment | Bengaluru +783 other locations | Critically Rated For | Promotions, Job Security | To view salary insights | Select designation | 10.3k | Reviews | 32.1k | Salaries | 562 | Interviews | 8 | Jobs | 473 | Benefits | 26 | Photos",3.8,32.1,Recruitment,Bengaluru +783 other locations
UltraTech Cement,"UltraTech Cement | Follow | 4.1 | (10.2k) | Building Material | Mumbai +561 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Job Security, Skill Development, Company Culture | Critically Rated For | Promotions | To view salary insights | Select designation | 10.2k | Reviews | 25.3k | Salaries | 865 | Interviews | 100 | Jobs | 686 | Benefits | 51 | Photos",4.1,25.3,Building Material,Mumbai +561 other locations
Asian Paints,"Asian Paints | Follow | 3.9 | (10.2k) | Chemicals | Mumbai +575 other locations | Highly Rated For | Salary, Skill Development, Job Security | Critically Rated For | Promotions | To view salary insights | Select designation | 10.2k | Reviews | 26.9k | Salaries | 921 | Interviews | 94 | Jobs | 950 | Benefits | 37 | Photos",3.9,26.9,Chemicals,Mumbai +575 other locations
Maruti Suzuki,"Maruti Suzuki | Follow | 4.1 | (10k) | Automobile | Gurugram +473 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Job Security, Salary, Company Culture | To view salary insights | Select designation | 10k | Reviews | 29.7k | Salaries | 846 | Interviews | 693 | Jobs | 1k | Benefits | 32 | Photos",4.1,29.7,Automobile,Gurugram +473 other locations
Startek,"Startek | Follow | 3.0 | (10.1k) | BPO | Bengaluru +109 other locations | Critically Rated For | Promotions, Company Culture, Work Satisfaction | To view salary insights | Select designation | 10.1k | Reviews | 25.1k | Salaries | 694 | Interviews | 277 | Jobs | 723 | Benefits | 16 | Photos",3.0,25.1,BPO,Bengaluru +109 other locations
Bajaj Finance,"Bajaj Finance | Follow | 3.9 | (9.9k) | NBFC | Pune +1043 other locations | Highly Rated For | Salary, Skill Development, Job Security | To view salary insights | Select designation | 9.9k | Reviews | 24k | Salaries | 474 | Interviews | 8k | Jobs | 548 | Benefits | 20 | Photos",3.9,24.0,NBFC,Pune +1043 other locations
Paytm,"Paytm | Follow | 3.2 | (9.8k) | FinTech | Noida +445 other locations | Critically Rated For | Job Security, Company Culture, Promotions | To view salary insights | Select designation | 9.8k | Reviews | 35.1k | Salaries | 937 | Interviews | 1.1k | Jobs | 585 | Benefits | 26 | Photos",3.2,35.1,FinTech,Noida +445 other locations
Sutherland Global Services,"Sutherland Global Services | Follow | 3.3 | (9.7k) | BPO | Chennai +90 other locations | Critically Rated For | Promotions, Salary, Work Satisfaction | To view salary insights | Select designation | 9.7k | Reviews | 37.2k | Salaries | 846 | Interviews | 454 | Jobs | 953 | Benefits | 35 | Photos",3.3,37.2,BPO,Chennai +90 other locations
Shriram Finance,"Shriram Finance | Follow | 3.9 | (9.6k) | NBFC | Chennai +1150 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Job Security, Work Life Balance | Critically Rated For | Promotions, Salary | To view salary insights | Select designation | 9.6k | Reviews | 16.1k | Salaries | 488 | Interviews | 5 | Jobs | 97 | Benefits | 54 | Photos",3.9,16.1,NBFC,Chennai +1150 other locations
Equitas Small Finance Bank,"Equitas Small Finance Bank | Follow | 4.3 | (9.4k) | Banking | Chennai +491 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Company Culture, Work Life Balance, Job Security | To view salary insights | Select designation | 9.4k | Reviews | 14.2k | Salaries | 1k | Interviews | 67 | Jobs | 473 | Benefits | 44 | Photos",4.3,14.2,Banking,Chennai +491 other locations
Coforge,"Coforge | Follow | 3.3 | (9.5k) | IT Services & Consulting | Hyderabad +117 other locations | Critically Rated For | Promotions, Work Satisfaction, Job Security | To view salary insights | Select designation | 9.5k | Reviews | 69.4k | Salaries | 1k | Interviews | 333 | Jobs | 457 | Benefits | 106 | Photos",3.3,69.4,IT Services & Consulting,Hyderabad +117 other locations
Wells Fargo,"Wells Fargo | Follow | 3.5 | (9.3k) | Financial Services | Bengaluru +32 other locations | Critically Rated For | Promotions, Skill Development, Work Satisfaction | To view salary insights | Select designation | 9.3k | Reviews | 67.3k | Salaries | 722 | Interviews | 190 | Jobs | 918 | Benefits | 15 | Photos",3.5,67.3,Financial Services,Bengaluru +32 other locations
Cipla,"Cipla | Follow | 4.1 | (9.1k) | Pharma | Mumbai +304 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Salary, Work Life Balance, Skill Development | To view salary insights | Select designation | 9.1k | Reviews | 26.9k | Salaries | 635 | Interviews | 39 | Jobs | 906 | Benefits | 24 | Photos",4.1,26.9,Pharma,Mumbai +304 other locations
EXL Service,"EXL Service | Follow | 3.6 | (9k) | Analytics & KPO | Noida +64 other locations | Highly Rated For | Job Security | Critically Rated For | Promotions, Salary, Skill Development | To view salary insights | Select designation | 9k | Reviews | 45.4k | Salaries | 955 | Interviews | 136 | Jobs | 839 | Benefits | 20 | Photos",3.6,45.4,Analytics & KPO,Noida +64 other locations
Ericsson,"Ericsson | Follow | 3.9 | (8.7k) | Telecom | Noida +170 other locations | Highly Rated For | Work Life Balance, Company Culture | Critically Rated For | Promotions, Salary | To view salary insights | Select designation | 8.7k | Reviews | 42.6k | Salaries | 485 | Interviews | 20 | Jobs | 1k | Benefits | 18 | Photos",3.9,42.6,Telecom,Noida +170 other locations
Samsung,"Samsung | Follow | 3.9 | (8.6k) | Consumer Electronics & Appliances | Noida +596 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Work Life Balance, Salary | Critically Rated For | Promotions | To view salary insights | Select designation | 8.6k | Reviews | 26.7k | Salaries | 649 | Interviews | 59 | Jobs | 557 | Benefits | 17 | Photos",3.9,26.7,Consumer Electronics & Appliances,Noida +596 other locations
Dr. Reddy's,"Dr. Reddy's | Follow | 4.0 | (8.6k) | Pharma | Hyderabad +222 other locations | Highly Rated For | Company Culture, Skill Development, Salary | Critically Rated For | Promotions, Job Security | To view salary insights | Select designation | 8.6k | Reviews | 26.4k | Salaries | 552 | Interviews | 60 | Jobs | 775 | Benefits | 30 | Photos",4.0,26.4,Pharma,Hyderabad +222 other locations
JSW Steel,"JSW Steel | Follow | 3.9 | (8.5k) | Iron & Steel | Ballari +207 other locations | Highly Rated For | Job Security, Skill Development | Critically Rated For | Promotions | To view salary insights | Select designation | 8.5k | Reviews | 32.7k | Salaries | 901 | Interviews | 151 | Jobs | 659 | Benefits | 34 | Photos",3.9,32.7,Iron & Steel,Ballari +207 other locations
Optum Global Solutions,"Optum Global Solutions | Follow | 4.0 | (8.4k) | IT Services & Consulting | Hyderabad +71 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Job Security, Work Life Balance, Company Culture | Critically Rated For | Promotions | To view salary insights | Select designation | 8.4k | Reviews | 53.3k | Salaries | 806 | Interviews | 348 | Jobs | 741 | Benefits | 9 | Photos",4.0,53.3,IT Services & Consulting,Hyderabad +71 other locations
